"id","created_at","name","has_test","alternate_url"
"54418768","2022-03-31T16:17:08+0300","Senior",false,"https://hh.ru/vacancy/54418768"
"54500178","2022-03-31T21:12:12+0300","Senior",false,"https://hh.ru/vacancy/54500178"
"54500194","2022-03-31T21:17:20+0300","-",false,"https://hh.ru/vacancy/54500194"
"53809111","2022-04-01T11:45:23+0300","-",false,"https://hh.ru/vacancy/53809111"
"49423067","2022-04-01T12:37:57+0300","-",false,"https://hh.ru/vacancy/49423067"
"50138376","2022-04-01T13:43:25+0300","-",false,"https://hh.ru/vacancy/50138376"
"54320924","2022-04-01T13:50:31+0300","-",false,"https://hh.ru/vacancy/54320924"
"53935564","2022-04-01T14:09:15+0300","-",false,"https://hh.ru/vacancy/53935564"
"54430140","2022-04-01T15:57:17+0300","-",false,"https://hh.ru/vacancy/54430140"
"49598346","2022-04-01T16:05:38+0300","-",false,"https://hh.ru/vacancy/49598346"
"54522206","2022-04-01T16:48:15+0300","-",false,"https://hh.ru/vacancy/54522206"
"52322473","2022-04-01T17:31:55+0300","Junior",false,"https://hh.ru/vacancy/52322473"
"54263277","2022-04-01T21:12:32+0300","-",false,"https://hh.ru/vacancy/54263277"
"54346680","2022-04-02T04:34:17+0300","-",false,"https://hh.ru/vacancy/54346680"
"54346681","2022-04-02T04:34:17+0300","-",false,"https://hh.ru/vacancy/54346681"
"53316766","2022-04-02T12:44:04+0300","-",false,"https://hh.ru/vacancy/53316766"
"52006250","2022-04-02T17:42:09+0300","-",false,"https://hh.ru/vacancy/52006250"
"54057940","2022-04-02T17:44:24+0300","Middle",false,"https://hh.ru/vacancy/54057940"
"50751593","2022-04-03T14:38:12+0300","-",false,"https://hh.ru/vacancy/50751593"
"50369358","2022-04-03T15:35:15+0300","-",false,"https://hh.ru/vacancy/50369358"
