('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         170389 function calls (169430 primitive calls) in 0.967 seconds

   Ordered by: internal time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5673    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
    65/11    0.001    0.000    0.095    0.009 {method 'join' of 'bytes' objects}
     1255    0.001    0.000    0.001    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:1317(is_empty_element)
     3107    0.001    0.000    0.001    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:1906(descendants)
     5738    0.001    0.000    0.001    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:1532(__bool__)
      424    0.001    0.000    0.002    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:934(__new__)
     2355    0.001    0.000    0.001    0.000 {built-in method builtins.next}
      147    0.001    0.000    0.722    0.005 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/socket.py:690(readinto)
     1256    0.001    0.000    0.001    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/builder/__init__.py:205(can_be_empty_element)
3188/3158    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      147    0.001    0.000    0.721    0.005 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/ssl.py:1230(recv_into)
     1847    0.000    0.000    0.001    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/html/__init__.py:122(unescape)
      214    0.000    0.000    0.001    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:810(<genexpr>)
     1188    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/html/parser.py:126(clear_cdata_mode)
     1256    0.000    0.000    0.000    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/builder/__init__.py:453(set_up_substitutions)
     2448    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     1266    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
     1255    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/_markupbase.py:40(getpos)
      899    0.000    0.000    0.000    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:1489(get)
       12    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      424    0.000    0.000    0.000    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:495(string_container)
      147    0.000    0.000    0.720    0.005 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/ssl.py:1090(read)
       54    0.000    0.000    0.086    0.002 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/http/client.py:610(_safe_read)
     14/8    0.000    0.000    0.001    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_parse.py:493(_parse)
      959    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      426    0.000    0.000    0.001    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/builder/_htmlparser.py:195(handle_data)
        1    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
      201    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
       13    0.000    0.000    0.001    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/shlex.py:133(read_token)
       32    0.000    0.000    0.094    0.003 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/urllib3/response.py:728(read_chunked)
       85    0.000    0.000    0.002    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/re.py:289(_compile)
     1295    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     27/8    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_compile.py:71(_compile)
     1335    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      166    0.000    0.000    0.001    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/os.py:674(__getitem__)
      428    0.000    0.000    0.000    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:745(handle_data)
        1    0.000    0.000    0.001    0.001 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/urllib3/poolmanager.py:263(connection_from_pool_key)
        8    0.000    0.000    0.000    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/urllib3/util/url.py:210(_encode_invalid_chars)
