('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         170525 function calls (169719 primitive calls) in 0.982 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      950    0.005    0.000    0.008    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/builder/__init__.py:295(_replace_cdata_list_attribute_values)
      899    0.000    0.000    0.000    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:1489(get)
      866    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      809    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
      711    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/socket.py:729(readable)
      710    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      710    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      710    0.002    0.000    0.741    0.001 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/socket.py:690(readinto)
      710    0.001    0.000    0.734    0.001 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/ssl.py:1090(read)
      710    0.002    0.000    0.737    0.001 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/ssl.py:1230(recv_into)
      710    0.733    0.001    0.733    0.001 {method 'read' of '_ssl._SSLSocket' objects}
      577    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      435    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x1092a3420}
      428    0.000    0.000    0.000    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:745(handle_data)
      426    0.000    0.000    0.001    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/builder/_htmlparser.py:195(handle_data)
      424    0.000    0.000    0.000    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:495(string_container)
      424    0.001    0.000    0.002    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:592(object_was_parsed)
      424    0.001    0.000    0.002    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:934(__new__)
      214    0.000    0.000    0.001    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:810(<genexpr>)
      198    0.000    0.000    0.000    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:977(name)
      175    0.000    0.000    0.000    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex04/./financial_enhanced.py:47(<lambda>)
      171    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      146    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      132    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/enum.py:792(value)
      132    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/types.py:171(__get__)
      130    0.001    0.000    0.001    0.000 {method 'join' of 'bytes' objects}
      122    0.003    0.000    0.216    0.002 {method 'read' of '_io.BufferedReader' objects}
      122    0.001    0.000    0.217    0.002 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/http/client.py:610(_safe_read)
      107    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_parse.py:164(__getitem__)
       89    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       87    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/html/__init__.py:91(_replace_charref)
       82    0.000    0.000    0.528    0.006 {method 'readline' of '_io.BufferedReader' objects}
       81    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_parse.py:233(__next)
       80    0.000    0.000    0.002    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/re.py:250(compile)
       80    0.000    0.000    0.002    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/re.py:289(_compile)
       78    0.000    0.000    0.000    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:1570(__eq__)
       78    0.000    0.000    0.001    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/html/parser.py:122(set_cdata_mode)
       75    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_parse.py:254(get)
       66    0.000    0.000    0.002    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/builder/_htmlparser.py:107(handle_startendtag)
       65    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_parse.py:172(append)
       63    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       62    0.000    0.000    0.000    0.000 {method 'find' of 'bytes' objects}
       62    0.000    0.000    0.001    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/http/client.py:518(_read_next_chunk_size)
       62    0.000    0.000    0.002    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/http/client.py:548(_get_chunk_left)
       61    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       52    0.000    0.000    0.000    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/enum.py:438(<genexpr>)
    49/47    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       48    0.000    0.000    0.000    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:620(_linkage_fixer)
